id,655 - Local Param 04,status,updated_term,extraneous_text,confidence,error
1505,Navy lists,no_match,,Navy lists,0,not in rbms_terms.json
1506,Nazi works,no_match,,Nazi works,0,term not in rbms_terms.json ??? prefer no_match
1507,Needlepoint bindings,no_match,,Needlepoint bindings,0,not in rbms_terms.json
1508,Neo-Latin poems,no_match,,Neo-Latin poems,0,not in rbms_terms.json
1509,New Year addresses (Ephemera),no_match,,New Year addresses (Ephemera),0,not in rbms_terms.json
1510,New Year sermons,no_match,,New Year sermons,0,not in rbms_terms.json
1511,Newsbooks,no_match,,Newsbooks,0,not in rbms_terms.json
1512,Newsletters. rbgenr,matched,Newsletters,rbgenr,1,
1513,Newspapers Massachusetts. rbgenr,matched,Newspapers,Massachusetts; rbgenr,1,
1514,Newspapers New York (State) rbgenr,matched,Newspapers,New York (State); rbgenr,1,
1515,Newspapers. rbgenr,matched,Newspapers,rbgenr,1,
1516,Non-adhesive bindings. rbmscv,matched,Non-adhesive bindings,rbmscv,1,
1517,Non-Latin characters (Type evidence) Greek Italy Venice 1495. rbtyp,matched,Non-Latin characters,(Type evidence) Greek Italy Venice 1495; rbtyp,1,
1518,Non-Latin characters (Type evidence) Greek Italy Venice 15th century. rbtyp,matched,Non-Latin characters,(Type evidence) Greek Italy Venice 15th century; rbtyp,1,
1519,Nonsense verse 1903. rbgenr,matched,Nonsense verse,1903; rbgenr,1,
1520,Nonsense verse 1981. rbmscv,matched,Nonsense verse,1981; rbmscv,1,
1521,Nonsense verse 1991. rbgenr,matched,Nonsense verse,1991; rbgenr,1,
1522,Nonsense verse 1992 rbgenr,matched,Nonsense verse,1992; rbgenr,1,
1523,Nonsense verse 1992. rbgenr,matched,Nonsense verse,1992; rbgenr,1,
1524,Notebooks. rbgenr,matched,Notebooks,rbgenr,1,
1525,Novellas,no_match,,Novellas,0,not in rbms_terms.json
1526,Novels Connecticut 20th century. rbgenr,matched,Novels,Connecticut 20th century; rbgenr,0.95,
1527,Novels England 18th century. rbgenr,matched,Novels,England 18th century; rbgenr,0.95,
1528,Novels England Westminister 19th century. rbgenr,matched,Novels,England Westminister 19th century; rbgenr,0.9,
1529,Novels France 20th century. rbgenr,matched,Novels,France 20th century; rbgenr,0.95,
1530,Novels Great Britain 20th century. rbgenr,matched,Novels,Great Britain 20th century; rbgenr,0.95,
1531,Novels Great Britain 20th century. rbmscv,matched,Novels,Great Britain 20th century; rbmscv,0.95,
1532,Novels Illinois Chicago 20th century. rbgenr,matched,Novels,Illinois Chicago 20th century; rbgenr,0.95,
1533,Novels Massachusetts Boston 1898. rbgenr,matched,Novels,Massachusetts Boston 1898; rbgenr,0.95,
1534,Novels New York (State) Garden City 20th century. rbgenr,matched,Novels,New York (State) Garden City 20th century; rbgenr,0.95,
1535,Novels New York (State) Garden City 20th century. rbmscv,matched,Novels,New York (State) Garden City 20th century; rbmscv,0.95,
1536,Novels New York (State) New York 20th century. rbgenr,matched,Novels,New York (State) New York 20th century; rbgenr,0.95,
1537,Novels. rbgenr,matched,Novels,rbgenr,1,
1538,Novels. rbgenr (local)56172,matched,Novels,"rbgenr, (local)56172",0.85,
1539,Novels. rbmscv,matched,Novels,rbmscv,1,
1540,Novels.. rbgenr,matched,Novels,rbgenr,0.8,extra punctuation in source
1541,Nursery rhymes 1885. rbgenr,matched,Nursery rhymes,1885; rbgenr,1,
1542,Nursery rhymes 1904. rbgenr,matched,Nursery rhymes,1904; rbgenr,1,
1543,Nursery rhymes 1945. rbgenr,matched,Nursery rhymes,1945; rbgenr,1,
1544,Nursery rhymes 1954. rbgenr,matched,Nursery rhymes,1954; rbgenr,1,
1545,Nursery rhymes 1967. rbgenr,matched,Nursery rhymes,1967; rbgenr,1,
1546,Nursery rhymes 1976. rbgenr,matched,Nursery rhymes,1976; rbgenr,1,
1547,Nursery rhymes 1992 rbgenr,matched,Nursery rhymes,1992; rbgenr,1,
1548,Nursery rhymes 1992. rbgenr,matched,Nursery rhymes,1992; rbgenr,1,
1549,Nursery rhymes 2012. rbgenr,matched,Nursery rhymes,2012; rbgenr,1,
1550,Nursery rhymes. rbmscv,matched,Nursery rhymes,rbmscv,1,
1551,Obituaries. rbgenr,matched,Obituaries,rbgenr,1,
1552,Occasional addresses Connecticut New Haven 1941. rbgenr,matched,Occasional addresses,Connecticut New Haven 1941; rbgenr,1,
1553,Octavo England 1778. rbpri,matched,Octavo format,England 1778; rbpri,1,
1554,Octavo England 1844. rbmscv,matched,Octavo format,England 1844; rbmscv,1,
1555,Octavo format (Printing)  Germany Dillingen an der Donau 16th century. rbpri,matched,Octavo format,(Printing) Germany Dillingen an der Donau 16th century; rbpri,1,
1556,Octavo format (Printing) 18th century. rbpri,matched,Octavo format,(Printing) 18th century; rbpri,1,
1557,Octavo format (Printing) England 17th century. rbpri,matched,Octavo format,(Printing) England 17th century; rbpri,1,
1558,Octavo format (Printing) England 18th century. rbpri,matched,Octavo format,(Printing) England 18th century; rbpri,1,
1559,Octavo format (Printing) England Bungay 19th century. rbpri,matched,Octavo format,(Printing) England Bungay 19th century; rbpri,1,
1560,Octavo format (Printing) England London 17th century. rbpri,matched,Octavo format,(Printing) England London 17th century; rbpri,1,
1561,Octavo format (Printing) England London 1869t. rbpri,matched,Octavo format,(Printing) England London 1869; rbpri,0.75,typo in source (1869t)
1562,Octavo format (Printing) England London 18th century rbpri,matched,Octavo format,(Printing) England London 18th century; rbpri,1,
1563,Octavo format (Printing) England London 18th century. rbpri,matched,Octavo format,(Printing) England London 18th century; rbpri,1,
1564,Octavo format (Printing) England London 19th century. rbpri,matched,Octavo format,(Printing) England London 19th century; rbpri,1,
1565,Octavo format (Printing) England Truro 19th century. rbpri,matched,Octavo format,(Printing) England Truro 19th century; rbpri,1,
1566,Octavo format (Printing) France 16th century. rbpri,matched,Octavo format,(Printing) France 16th century; rbpri,1,
1567,Octavo format (Printing) France Paris 18th century rbpri,matched,Octavo format,(Printing) France Paris 18th century; rbpri,1,
1568,Octavo format (Printing) France Paris 18th century. rbpri,matched,Octavo format,(Printing) France Paris 18th century; rbpri,1,
1569,Octavo format (Printing) Germany 18th century. rbpri,matched,Octavo format,(Printing) Germany 18th century; rbpri,1,
1570,Octavo format (Printing) Germany Augsburg 18th century. rbpri,matched,Octavo format,(Printing) Germany Augsburg 18th century; rbpri,1,
1571,Octavo format (Printing) Germany Cologne 16th century. rbpri,matched,Octavo format,(Printing) Germany Cologne 16th century; rbpri,1,
1572,Octavo format (Printing) Germany Dillingen an der Donau 16th century. rbpri,matched,Octavo format,(Printing) Germany Dillingen an der Donau 16th century; rbpri,1,
1573,Octavo format (Printing) Germany Frankfurt am Main 17th century. rbpri,matched,Octavo format,(Printing) Germany Frankfurt am Main 17th century; rbpri,1,
1574,Octavo format (Printing) Germany Heidelberg 17th century. rbpri,matched,Octavo format,(Printing) Germany Heidelberg 17th century; rbpri,1,
1575,Octavo format (Printing) Germany Ingolstadt 16th century. rbpri,matched,Octavo format,(Printing) Germany Ingolstadt 16th century; rbpri,1,
1576,Octavo format (Printing) Italy 16th century. rbpri,matched,Octavo format,(Printing) Italy 16th century; rbpri,1,
1577,Octavo format (Printing) Italy 18th century. rbpri,matched,Octavo format,(Printing) Italy 18th century; rbpri,1,
1578,Octavo format (Printing) Italy Venice 1589. rbpri,matched,Octavo format,(Printing) Italy Venice 1589; rbpri,1,
1579,Octavo format (Printing) Italy Venice 16th century. rbpri,matched,Octavo format,(Printing) Italy Venice 16th century; rbpri,1,
1580,Octavo format (Printing) rbpri,matched,Octavo format,rbpri,1,
1581,Octavo format (Printing) South Carolina Columbia 19th century. rbpri,matched,Octavo format,(Printing) South Carolina Columbia 19th century; rbpri,1,
1582,Octavo format (Printing) rbpri,matched,Octavo format,rbpri,1,
1583,Octavo format rbmscv,matched,Octavo format,rbmscv,1,
1584,Octavo format. rbmscv http://id.loc.gov/vocabulary/rbmscv/cv00792,matched,Octavo format,"rbmscv, http://id.loc.gov/vocabulary/rbmscv/cv00792",0.92,
1585,Octavo format. rbpri,matched,Octavo format,rbpri,1,
1586,Onionskin (Paper) rbpap,matched,Onionskin (Paper),rbpap,1,
1587,Onionskin (Paper). rbpap,matched,Onionskin (Paper),rbpap,1,
1588,Open-face types (Type) England London 19th century. rbtyp,matched,Open-face types,(Type) England London 19th century; rbtyp,1,
1589,Operettas England London 19th century. rbgenr,matched,Operettas,England London 19th century; rbgenr,1,
1590,Oral histories. rbgenr,matched,Oral histories,rbgenr,1,
1591,Orations. rbgenr,matched,Orations,rbgenr,1,
1592,Ordination sermons 1743. rbmscv,matched,Ordination sermons,1743; rbmscv,1,
1593,Ordination sermons 1752. rbmscv,matched,Ordination sermons,1752; rbmscv,1,
1594,Ordination sermons 1756. rbmscv,matched,Ordination sermons,1756; rbmscv,1,
1595,Ordination sermons 1768. rbgenr,matched,Ordination sermons,1768; rbgenr,1,
1596,Ordination sermons 1790. rbgenr,matched,Ordination sermons,1790; rbgenr,1,
1597,Ornate types (Type evidence) rbtyp,matched,Ornate types,(Type evidence); rbtyp,1,
1598,Overland journals 19th century. rbgenr,matched,Overland journals,19th century; rbgenr,1,
1599,Overland journals West (U.S.) 1804-1806. rbgenr,matched,Overland journals,West (U.S.) 1804-1806; rbgenr,1,
1600,Page proofs (Printing) American 1960-1969 rbpri,matched,Page proofs,(Printing) American 1960-1969; rbpri,1,
1601,Juvenile literature 1979. rbgenr,matched,Juvenile literature,1979; rbgenr,1,
1602,Juvenile literature 1984. rbgenr,matched,Juvenile literature,1984; rbgenr,1,
1603,Juvenile literature 1988. rbmscv,matched,Juvenile literature,1988; rbmscv,1,
1604,Juvenile literature 1989. rbgenr,matched,Juvenile literature,1989; rbgenr,1,
1605,Juvenile literature 1990. rbgenr,matched,Juvenile literature,1990; rbgenr,1,
1606,Juvenile literature 1993. rbgenr,matched,Juvenile literature,1993; rbgenr,1,
1607,Juvenile literature 1999. rbgenr,matched,Juvenile literature,1999; rbgenr,1,
1608,Juvenile literature 20th century United States. rbgenr,matched,Juvenile literature,20th century United States; rbgenr,1,
1609,Juvenile literature 20th century. rbgenr,matched,Juvenile literature,20th century; rbgenr,1,
1610,Juvenile literature English 20th century. rbgenr,matched,Juvenile literature,English 20th century; rbgenr,1,
1611,Juvenile literature Irish In English 20th century. rbgenr,matched,Juvenile literature,Irish in English 20th century; rbgenr,0.9,
1612,Juvenile literature Massachusetts Boston 1938. rbgenr,matched,Juvenile literature,Massachusetts Boston 1938; rbgenr,1,
1613,Juvenile literature Massachusetts Boston 1974. rbgenr,matched,Juvenile literature,Massachusetts Boston 1974; rbgenr,1,
1614,Juvenile literature Massachusetts Boston 1986. rbgenr,matched,Juvenile literature,Massachusetts Boston 1986; rbgenr,1,
1615,Juvenile literature New York (N.Y.) 1983. rbgenr,matched,Juvenile literature,New York (N.Y.) 1983; rbgenr,1,
1616,Juvenile literature New York (N.Y.) 1984. rbgenr,matched,Juvenile literature,New York (N.Y.) 1984; rbgenr,1,
1617,Juvenile literature New York (N.Y.) 1986. rbgenr,matched,Juvenile literature,New York (N.Y.) 1986; rbgenr,1,
1618,Juvenile literature New York (State) Garden City 1953. rbgenr,matched,Juvenile literature,New York (State) Garden City 1953; rbgenr,0.95,
1619,Juvenile literature New York (State) New York 1849. rbgenr,matched,Juvenile literature,New York (State) New York 1849; rbgenr,0.95,
1620,Juvenile literature New York (State) New York 1907. rbgenr,matched,Juvenile literature,New York (State) New York 1907; rbgenr,0.95,
1621,Juvenile literature New York (State) New York 1934. rbgenr,matched,Juvenile literature,New York (State) New York 1934; rbgenr,0.95,
1622,Juvenile literature New York (State) New York 1939. rbgenr,matched,Juvenile literature,New York (State) New York 1939; rbgenr,0.95,
1623,Juvenile literature 1939 rbmscv,matched,Juvenile literature,1939; rbmscv,1,
1624,Juvenile literature. rbgenr,matched,Juvenile literature,rbgenr,1,
1625,Juvenile literature. rbgenr CtHT,matched,Juvenile literature,"rbgenr, CtHT",0.9,
1626,Juvenile literature. rbmscv,matched,Juvenile literature,rbmscv,1,
1627,Juvenile literature. rbmscv http://id.loc.gov/vocabulary/rbmscv/cv00985,matched,Juvenile literature,"rbmscv, http://id.loc.gov/vocabulary/rbmscv/cv00985",0.92,
1628,Juvenilia New York (State) New York 1925. rbgenr,matched,Juvenilia,New York (State) New York 1925; rbgenr,1,
1629,Keepsakes Great Britain 20th century. rbgenr,matched,Keepsakes,Great Britain 20th century; rbgenr,1,
1630,Keepsakes Maine Rockport 2020. rbgenr,matched,Keepsakes,Maine Rockport 2020; rbgenr,1,
1631,Kozo fibers (Paper) rbpap,matched,Kozo fiber papers,rbpap,1,
1632,Kozo fibers (Paper) United States 21st century. rbpap,matched,Kozo fiber papers,United States 21st century; rbpap,0.95,
1633,Labels (Provenance) England 19th century rbprov MMeT,matched,Labels (Provenance),"England 19th century; rbprov, MMeT",0.95,
1634,Labels (Provenance) England 19th century. rbprov MMeT,matched,Labels (Provenance),"England 19th century; rbprov, MMeT",0.95,
1635,Labels (Provenance) rbprov MMeT,matched,Labels (Provenance),"rbprov, MMeT",0.95,
1636,Laid papers (Paper) rbpap,matched,Laid papers,rbpap,1,
1637,Large paper printings (Printing) England London 18th century. rbpri,matched,Large paper printings,(Printing) England London 18th century; rbpri,1,
1638,Large paper printings (Printing) England London 19th century. rbpri,matched,Large paper printings,(Printing) England London 19th century; rbpri,1,
1639,Large paper printings (Printing) rbpri PPT,matched,Large paper printings,"(Printing); rbpri, PPT",0.9,
1640,Laws. rbgenr,matched,Laws,rbgenr,1,
1641,Leaf books (Genre). rbgenr,matched,Leaf books,rbgenr,1,
1642,Leaf books 20th century. rbgenr,matched,Leaf books,20th century; rbgenr,1,
1643,Leaf books 20th century. rbmscv,matched,Leaf books,20th century; rbmscv,1,
1644,Leaf books. rbgenr,matched,Leaf books,rbgenr,1,
1645,Leaf books. rbmscv,matched,Leaf books,rbmscv,1,
1646,Leather bindings (Binding) 16th century. rbbin MMeT,matched,Leather bindings,"(Binding) 16th century; rbbin, MMeT",1,
1647,Leather bindings (Binding) 19th century. rbbin,matched,Leather bindings,(Binding) 19th century; rbbin,1,
1648,Leather bindings (Binding) rbbin,matched,Leather bindings,(Binding); rbbin,1,
1649,Leather bindings (Binding) rbbin MMeT,matched,Leather bindings,"(Binding); rbbin, MMeT",1,
1650,Leather bindings. rbmscv,matched,Leather bindings,rbmscv,1,
1651,Leather bindings. rbmscv MMeT,matched,Leather bindings,"rbmscv, MMeT",0.95,
1652,Leather blindings. rbmscv MMeT,matched,Leather bindings,"rbmscv, MMeT",0.6,typo in source ('blindings'???'bindings')
1653,Lectures 20th century. rbgenr,matched,Lectures,20th century; rbgenr,1,
1654,Lectures Massachusetts Boston 20th century. rbgenr,matched,Lectures,Massachusetts Boston 20th century; rbgenr,0.95,
1655,Lectures. rbgenr,matched,Lectures,rbgenr,1,
1656,Lectures. rbmscv,matched,Lectures,rbmscv,1,
1657,Legal instruments England London 17th century. rbgenr,matched,Legal instruments,England London 17th century; rbgenr,1,
1658,Legal petitions. rbgenr,matched,Legal petitions,rbgenr,1,
1659,Legislative addresses 1789. rbmscv,matched,Legislative addresses,1789; rbmscv,1,
1660,Legislative proceedings. rbgenr,matched,Legislative proceedings,rbgenr,1,
1661,Lettering pieces (Binding) rbbin,matched,Lettering pieces,(Binding); rbbin,1,
1662,Lettering pieces (Binding) rbbin MMeT,matched,Lettering pieces,"(Binding); rbbin, MMeT",0.95,
1663,Lettering pieces (Bindings) rbbin MMeT,matched,Lettering pieces,"(Bindings); rbbin, MMeT",0.95,
1664,Lettering pieces rbmscv MMeT,matched,Lettering pieces,"rbmscv, MMeT",0.9,
1665,Lettering pieces. rbmscv MMeT,matched,Lettering pieces,"rbmscv, MMeT",0.9,
1666,Lettering pieces.. rbmscv MMeT,matched,Lettering pieces,"rbmscv, MMeT",0.85,formatting irregularity
1667,Letterpress types (Type evidence) rbtyp,matched,Letterpress types,(Type evidence); rbtyp,1,
1668,Letters (Correspondence) rbgenr,matched,Letters,(Correspondence); rbgenr,1,
1669,Letters 1913. rbgenr,matched,Letters,1913; rbgenr,1,
1670,Letters 1956. rbgenr,matched,Letters,1956; rbgenr,1,
1671,Letters 19th century. rbgenr,matched,Letters,19th century; rbgenr,1,
1672,Letters California Represa 20th century. rbgenr,matched,Letters,California Represa 20th century; rbgenr,0.9,
1673,Letters England 18th century. rbgenr,matched,Letters,England 18th century; rbgenr,1,
1674,Letters England 18th century. rbmscv,matched,Letters,England 18th century; rbmscv,1,
1675,Letters Italy Venice 16th century. rbgenr,matched,Letters,Italy Venice 16th century; rbgenr,1,
1676,Letters New York (State) New York 19th century. rbmscv,matched,Letters,New York (State) New York 19th century; rbmscv,0.95,
1677,Letters United States 21st century. rbgenr,matched,Letters,United States 21st century; rbgenr,0.95,
